chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\XYAnnotationEntity.java,XYAnnotationEntity,101,66,0.65346533,10,0.06534653
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\XYItemEntity.java,XYItemEntity,153,97,0.63398695,17,0.03729335
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AnnotationChangeEvent.java,AnnotationChangeEvent,66,52,0.7878788,2,0.3939394
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AnnotationChangeListener.java,AnnotationChangeListener,50,44,0.88,1,0.88
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AxisChangeEvent.java,AxisChangeEvent,62,51,0.82258064,3,0.27419356
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AxisChangeListener.java,AxisChangeListener,55,50,0.90909094,2,0.45454547
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeEvent.java,ChartChangeEvent,115,80,0.6956522,10,0.06956522
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeEventType.java,ChartChangeEventType,47,41,0.87234044,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeListener.java,ChartChangeListener,52,47,0.90384614,1,0.90384614
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressEvent.java,ChartProgressEvent,115,80,0.6956522,10,0.06956522
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressEventType.java,ChartProgressEventType,45,40,0.8888889,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressListener.java,ChartProgressListener,49,44,0.8979592,1,0.8979592
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\MarkerChangeEvent.java,MarkerChangeEvent,63,52,0.82539684,3,0.27513227
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\MarkerChangeListener.java,MarkerChangeListener,50,44,0.88,1,0.88
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\package-info.java,null,6,5,0.8333333,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\PlotChangeEvent.java,PlotChangeEvent,64,52,0.8125,3,0.27083334
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\PlotChangeListener.java,PlotChangeListener,50,45,0.9,1,0.9
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\RendererChangeEvent.java,RendererChangeEvent,87,68,0.7816092,3,0.2605364
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\RendererChangeListener.java,RendererChangeListener,49,44,0.8979592,1,0.8979592
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\TitleChangeEvent.java,TitleChangeEvent,61,49,0.8032787,1,0.8032787
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\TitleChangeListener.java,TitleChangeListener,50,45,0.9,1,0.9
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGenerator.java,DynamicDriveToolTipTagFragmentGenerator,86,66,0.76744187,4,0.19186047
